Latitude,Longitude,Crime_Type,Date_Time,Area
24.186831,75.095284,Murder,2023-04-05 23:00:00,Jaipur
24.748333,74.852266,Theft,2023-09-19 20:00:00,Lucknow
29.847421,74.852598,Burglary,2023-02-12 02:00:00,Panipat
24.565162,74.435186,Fraud,2023-04-26 06:00:00,Chandigarh
27.731298,70.804035,Fraud,2023-07-14 11:00:00,Delhi
29.102117,72.137011,Fraud,2023-06-04 07:00:00,Jaipur
22.176482,79.254776,Theft,2023-06-05 18:00:00,Mumbai
25.457383,77.270426,Burglary,2023-01-15 02:00:00,Mumbai
25.688015,70.38632,Burglary,2023-03-14 09:00:00,Jaipur
23.38615,73.578938,Fraud,2023-10-30 11:00:00,Mumbai
25.54423,75.562145,Robbery,2023-04-22 08:00:00,Chandigarh
25.333915,79.765361,Burglary,2023-04-02 14:00:00,Chandigarh
27.552593,75.633937,Fraud,2023-01-09 17:00:00,Mumbai
20.743608,70.623373,Murder,2023-11-10 22:00:00,Panipat
23.297972,73.52238,Robbery,2023-05-11 04:00:00,Chandigarh
25.987281,70.773104,Assault,2023-05-31 13:00:00,Lucknow
27.225557,78.863014,Robbery,2023-04-26 15:00:00,Panipat
25.102176,77.583123,Assault,2023-04-06 21:00:00,Jaipur
21.392456,72.506715,Murder,2023-03-09 10:00:00,Chandigarh
25.308657,71.385366,Assault,2023-11-16 06:00:00,Delhi
25.230937,73.298747,Robbery,2023-11-03 21:00:00,Jaipur
29.531148,76.772561,Robbery,2023-03-06 11:00:00,Chandigarh
23.722925,73.603804,Robbery,2023-05-07 08:00:00,Jaipur
21.402771,76.163879,Burglary,2023-12-16 06:00:00,Delhi
28.289547,77.867392,Theft,2023-03-26 12:00:00,Lucknow
21.789199,78.140058,Murder,2023-05-28 06:00:00,Lucknow
22.791508,78.436586,Assault,2023-11-04 01:00:00,Jaipur
22.344166,75.550173,Burglary,2023-02-02 00:00:00,Delhi
22.476974,71.332675,Assault,2023-12-18 14:00:00,Mumbai
29.830137,76.895578,Murder,2023-11-08 20:00:00,Panipat
24.112034,78.0189,Theft,2023-07-31 07:00:00,Lucknow
23.050051,72.986994,Murder,2023-04-12 00:00:00,Lucknow
24.935224,70.062226,Murder,2023-06-22 02:00:00,Panipat
26.999245,78.949271,Burglary,2023-02-03 02:00:00,Delhi
26.865718,72.25147,Murder,2024-01-01 23:00:00,Jaipur
22.659507,77.370882,Burglary,2023-06-30 09:00:00,Jaipur
27.951857,79.741448,Assault,2023-07-28 07:00:00,Delhi
21.232495,76.670684,Theft,2023-04-19 09:00:00,Jaipur
22.457868,73.868917,Fraud,2023-05-23 11:00:00,Chandigarh
22.770196,78.633896,Robbery,2023-06-16 09:00:00,Chandigarh
28.193166,77.452333,Fraud,2023-11-03 09:00:00,Jaipur
23.793739,70.296713,Assault,2023-06-11 04:00:00,Delhi
21.940188,79.731961,Fraud,2023-04-27 02:00:00,Delhi
22.96545,71.800691,Murder,2023-11-25 12:00:00,Jaipur
20.506313,71.429308,Murder,2023-06-06 01:00:00,Mumbai
26.508332,72.675165,Robbery,2023-12-02 23:00:00,Delhi
28.160887,72.53599,Burglary,2023-08-08 15:00:00,Lucknow
26.989326,70.036157,Burglary,2023-12-02 00:00:00,Delhi
23.824813,78.638586,Murder,2023-10-22 13:00:00,Lucknow
24.483733,74.149611,Murder,2023-09-30 23:00:00,Chandigarh
28.98205,73.248744,Burglary,2023-01-14 02:00:00,Panipat
29.756675,72.727484,Assault,2023-08-02 14:00:00,Jaipur
27.230152,72.803351,Theft,2023-09-23 14:00:00,Jaipur
28.751057,70.046274,Theft,2023-06-30 09:00:00,Delhi
23.138279,75.23213,Theft,2023-06-06 00:00:00,Chandigarh
